,sum_sq,df,F,PR(>F),p_val_adj
RPS6KA3,36.37646877640685,12.0,8.147979026341773,3.160200869513084e-09,3.592485136602034e-07
RPS6KA4,34.28024348060496,12.0,7.141397365718394,3.1711314239623814e-08,2.2916760615048726e-06
RPS6KA5,14.54214337484092,12.0,1.5985400896238764,0.11284839500428938,0.21060154462900216
RPS6KA6,22.769414246655604,12.0,2.717218053817207,0.004672064981919141,0.020603627563942264
RPS6KB1,9.195361250239873,12.0,0.8834952955358714,0.5672558797015919,0.6611762202901592
RPS6KB2,11.038390173883561,12.0,1.015192306447005,0.4452340231594271,0.5554416590234392
RPS6KC1,5.618598808217829,12.0,0.49996077700551095,0.907670779627588,0.9304054924647479
RPS6KL1,18.78350519345981,12.0,2.579516487222492,0.007000198246557935,0.027903820542989375
RPS7,4.537380823949426,12.0,1.199840289580152,0.3013954645988937,0.4229273754993315
RPS9,21.702943108626123,12.0,4.910367194434694,8.986926294952091e-06,0.0001843020430376812
RPTOR,8.232206503263559,12.0,0.810877303434177,0.6383297693568979,0.717942219757496
RPUSD1,16.47995732948365,12.0,2.011596069365987,0.03626056949009175,0.09228505358340654
RPUSD2,4.453020923465899,12.0,0.4133817763317376,0.9534116321838177,0.9648328727495982
RPUSD3,12.120929776387719,12.0,1.6613513510606162,0.09550052280342183,0.18713956458265762
RPUSD4,10.23200629033088,12.0,1.4984994755110348,0.1463794524387805,0.25316716717811627
RRAD,19.038323718592586,12.0,2.928746041018659,0.002508871730401057,0.012884378635545419
RRAGA,12.012126600231165,12.0,2.0297923012851595,0.034435439254792886,0.08859500549263283
RRAGB,7.876421049323936,12.0,0.8024295119316457,0.6466463522087514,0.7249871680431247
RRAGC,16.180227446826073,12.0,2.161569857112904,0.023624698260848127,0.06821455678453733
RRAGD,14.089349725436385,12.0,2.482987525471922,0.009288107059114833,0.03430601275584813
RRAS2,33.400004959643304,12.0,6.621350539555173,1.1046238615330033e-07,6.164470616361149e-06
RRBP1,11.885513423587142,12.0,2.839980219459011,0.003256774340948568,0.01570894611391012
RRM1,21.466319159615306,12.0,3.0395000895104602,0.001812255679537138,0.010168596474742629
RRM2B,13.178003061539863,12.0,1.4018268747745148,0.1867729747275267,0.30140300583439644
RRN3,19.942651618145714,12.0,2.471713450259213,0.009599528551315992,0.0350763725795705
RRNAD1,11.86378422393399,12.0,1.0985227085524691,0.37579555275816745,0.4926572345654567
RRP1,22.061257632604388,12.0,2.606011726781833,0.006476666660923141,0.026310348258971286
RRP12,14.115334817614952,12.0,1.4005972096008608,0.18734261612064884,0.30189898656614184
RRP15,15.577531301021068,12.0,1.6713534969121673,0.09297423603976396,0.1835563390767896
RRP1B,9.364801525776441,12.0,1.4359477167717831,0.17154209780787905,0.28344600988349966
RRP36,26.98294442785157,12.0,3.6934092275131363,0.0002701080911656365,0.002460094266521445
RRP9,23.949308708175376,12.0,2.849726768396106,0.003164784750548739,0.015354231508362666
RSAD1,8.1354150024911,12.0,0.7340157047274701,0.7135063594228824,0.7811227899622505
RSBN1,12.975119586721378,12.0,1.349142926942758,0.2125195365754932,0.33005226729417125
RSBN1L,9.650120312392636,12.0,1.2190203047627544,0.2886035952235967,0.410355451639728
RSF1,4.7549751185945155,12.0,1.066398228540877,0.40172656081585784,0.5161324785582595
RSL1D1,15.729549308853208,12.0,1.6338245206708086,0.10278035400391704,0.19733142194913847
RSL24D1,21.357550802855172,12.0,5.973753522386879,5.532171715063789e-07,2.079193353155403e-05
RSPH1,17.39243084580628,12.0,2.3529676075850916,0.013575095626567639,0.04538833715665752
RSPH14,12.13859940522944,12.0,1.41196372810232,0.1821326394089122,0.29552958359206255
RSPH9,16.287331028104376,12.0,2.574686173848027,0.007100075056731455,0.028201421418665527
RSPO2,25.069337988397937,12.0,4.735860406665579,1.4444192815798742e-05,0.0002623316123232245
RSPO3,21.697936770111724,12.0,5.275401401202794,3.382570769407611e-06,8.598139851550193e-05
RSPRY1,24.614422955675032,12.0,3.3229838377703107,0.0007905125436114249,0.0055396038824764085
RSRC1,11.566211828432657,12.0,1.4825025805589327,0.1524878105653374,0.26045404557329377
RSRC2,11.32493459940523,12.0,1.2124078912076957,0.2929670302600119,0.4148312086158144
RSRP1,17.929274241284187,12.0,2.2710119641155684,0.017223697139730217,0.054239330801175045
RSU1,20.135182110595967,12.0,2.196696940467753,0.02135171090456285,0.06329895492891653
RTBDN,6.740387334542081,12.0,1.2172604294628564,0.28976012416839625,0.4113012522495133
RTCA,4.260448413055695,12.0,0.4638481572346314,0.9288653665544525,0.9459181923505197
RTCB,19.542872938689136,12.0,2.5027827309371493,0.00876530648152559,0.03288954445064696
RTF1,5.119370503050969,12.0,0.4895283338970832,0.9140966167803216,0.9349616996254021
RTF2,9.617370616816812,12.0,0.8849941427288752,0.5658057416831285,0.6602005838841155
RTL6,17.84945135219445,12.0,2.4071887960133185,0.011590834796226033,0.04021416985819492
RTN1,2.3656204697465375,12.0,1.1957361884508206,0.3041863040928184,0.4258266644349239
RTN2,11.787516862867884,12.0,2.302605731683007,0.015715452738392113,0.0508282011995485
RTN3,3.3652544090616137,12.0,1.4732291803180104,0.15612968914363204,0.26505202390017774
RTN4,4.10586714565053,12.0,1.694985742378256,0.08724696176126379,0.1749499180961927
RTN4IP1,6.187804574085673,12.0,0.9126775573231622,0.5392173272977496,0.6380253340732047
RTN4R,12.550588766106904,12.0,2.5337997718894294,0.008004149659899146,0.03087419522005248
RTN4RL1,15.585897916208758,12.0,4.5262979094627775,2.569660666805064e-05,0.00041730926666562663
RTN4RL2,8.870586211275976,12.0,1.3792750870826944,0.1974550839777225,0.3130990895930547
RTP5,26.137694180191023,12.0,3.133693030844659,0.0013748619245142447,0.008356256502262155
RTRAF,14.255152002312721,12.0,1.4216974242980482,0.17776927163891262,0.290446425928833
RUBCN,22.384854532229994,12.0,2.767743175885707,0.004027304324010559,0.018405079235960645
RUBCNL,12.631290539269317,12.0,1.5372375286832494,0.1324695920242134,0.23648313364849885
RUFY1,6.368150816370951,12.0,0.7076369444568535,0.7387380195497835,0.8009541613110143
RUFY2,12.836532631944273,12.0,1.3794316335093428,0.19737920443127446,0.3130326755775362
RUFY3,16.29946000489177,12.0,2.3615134800940303,0.013241508493900826,0.04454064623382969
RUNDC1,15.443370700128883,12.0,1.9111381703150236,0.0481277009560868,0.11348524210080596
RUNDC3A,14.544763845294487,12.0,2.330455951437465,0.014493898359361785,0.04780079372958572
RUNDC3B,13.855566243074293,12.0,1.71426802916049,0.0828164800846267,0.16863647691712574
RUNX1T1,19.31060290367822,12.0,7.390555892025568,1.768465763346013e-08,1.4670299773774854e-06
RUSC1,20.505866622856082,12.0,5.248139580337907,3.635997044199067e-06,9.122686861848776e-05
RUSC2,13.591186127999151,12.0,3.0766465416882927,0.001625130213159652,0.009421727554955595
RUSF1,21.46657215478835,12.0,2.396663417810357,0.011952243768240303,0.041204141002604534
RUVBL1,6.196965805384338,12.0,0.6065599337773908,0.8293083213197008,0.870895708877759
RUVBL2,19.909914426775604,12.0,2.1940788723757882,0.021513502088708582,0.06365563214422515
RWDD1,11.796124625692887,12.0,1.897975255257748,0.04993303703954899,0.11672592156896854
RWDD2A,11.731959626449347,12.0,2.349307788876635,0.013720471526658258,0.04574152853637554
RWDD2B,7.03088433636056,12.0,0.6415149644151499,0.7993684168833199,0.8475053981187807
RWDD4,10.729443634697692,12.0,1.3880407385001294,0.19324369266293864,0.30830925370155654
RXFP1,7.320074677823692,12.0,3.0502020514844825,0.0017562260841146756,0.009963850759413391
RXRA,11.738555994703582,12.0,2.2028901713206106,0.020973689068142735,0.06241642829908085
RXRB,12.688963775671912,12.0,1.438125772181828,0.17060696234839057,0.282240192113543
RXYLT1,8.633529398242056,12.0,0.8778023589844294,0.5727725253398499,0.6656975273880983
RYBP,7.214436118829758,12.0,1.0553472700545037,0.41089553356713315,0.5247608977928102
RYK,16.326811711117013,12.0,2.3703630240395386,0.01290456916050514,0.04366174951289581
RYR2,19.442888575787993,12.0,4.523526962644336,2.5894248939543776e-05,0.00041830569164091067
S100A10,25.463185846613197,12.0,4.779719742573897,1.2814576730614737e-05,0.0002408094337459194
S100A11,12.840624781750567,12.0,3.2372014702954686,0.0010155305883537721,0.0067080384917945005
S100A13,13.268399396951573,12.0,3.3004334778815174,0.0008442705119966011,0.005845145018394514
S100A16,1.5421287021615446,12.0,0.6766429527652508,0.767706928516217,0.8226550237212222
S100A6,10.195982943512279,12.0,2.0300960839527447,0.03440573209460415,0.08859283588565857
S100B,4.026779099203701,12.0,2.632199896617553,0.005997470954515465,0.02475334493463846
S100PBP,11.911757497988452,12.0,1.2386730567786082,0.2759238580399572,0.3978142188095262
S1PR1,24.09691778114243,12.0,8.397306534867218,1.8232738172304617e-09,2.2687439606835257e-07
SAAL1,15.00751416919799,12.0,1.6083240537730807,0.10997085143581162,0.2069510729656557
SAC3D1,16.809255360924595,12.0,1.8948283787693139,0.050374069078583494,0.11736954151710446
SACM1L,7.655338677034551,12.0,0.7616687953497792,0.6866523897769247,0.7589359266673775
SACS,14.89690688381876,12.0,1.521784846912743,0.13787174868385813,0.24278505677585877
SAE1,16.246139869955805,12.0,2.1705534695783544,0.02302192749442637,0.06697817010068816
SAFB,8.497671799648579,12.0,0.8595065604165143,0.5905854197130054,0.6807500869924931
SAFB2,2.7157937771630776,12.0,0.2817523840545035,0.9904139759935736,0.9927859667917294
SALL1,5.397573875281455,12.0,2.6603746208500225,0.00552124923424188,0.02331025352998589
SALL2,11.9303520994347,12.0,2.049906423723164,0.03252083946059091,0.0849749970922591
SAMD10,6.7838304954196875,12.0,0.7789307634163625,0.6697496012729899,0.7450832824117061
SAMD12,13.697225447576088,12.0,1.556765678023021,0.12591184217480378,0.22755569043093096
SAMD14,11.487967531181857,12.0,1.2685735633070823,0.25745606921637215,0.3782508856731295
SAMD4A,12.232984245190197,12.0,1.4350092935259078,0.1719463564125569,0.2837931618295078
SAMD4B,13.263238688962252,12.0,1.3023115794816766,0.23779511889088603,0.357371871184475
SAMD8,17.5620224733022,12.0,2.634974250102561,0.00594881842538657,0.024619270300430256
SAMHD1,23.470698837014663,12.0,3.023654980116289,0.0018985283124090405,0.010550180265939919
SAMM50,12.912192031165683,12.0,1.3423679526603562,0.21603414415919017,0.3337908243419304
SAP130,12.579405635163754,12.0,1.305276213115551,0.23612627458161994,0.3555602185359863
SAP18,19.370260470678637,12.0,2.1904458312855444,0.021739997229336578,0.06418143459048772
SAP30,13.414016579306487,12.0,1.847229738453115,0.05751190695463541,0.12910035086257504
SAP30BP,12.127597700170647,12.0,1.2984558373875703,0.23997969284793824,0.35983276530594616
SAP30L,17.287324440969122,12.0,1.953612890151339,0.04271635340869744,0.10383637333349685
SAPCD2,16.453267440353542,12.0,15.63657925309448,3.610024188244397e-15,4.1551378406693005e-12
SAR1A,9.626729181389953,12.0,0.9482373269640427,0.505719712297968,0.6092721589480163
SAR1B,15.561995638922754,12.0,2.0985521063619186,0.028305408929775157,0.07711835150026596
SARAF,6.974265219031409,12.0,2.0985201545342065,0.028307996098055923,0.07711835150026596
SARM1,12.975686529665357,12.0,1.3200309030864008,0.2279600587455233,0.34666494152415833
SARS1,14.899341932631136,12.0,1.8926367229475012,0.05068340887499749,0.11788149252866302
SART1,18.458172593832618,12.0,2.0810617975068735,0.0297563640969261,0.07974289889537123
SART3,10.037311417622659,12.0,1.1400905408883617,0.3438918006736905,0.463896235072274
SASH1,8.00818915731601,12.0,1.7343065783031413,0.07843326993973243,0.1618949898240431
SAT2,16.037745240560707,12.0,3.6195096415980905,0.00033425781449718196,0.002876491547560796
SATB1,1.8813138423956612,12.0,1.1071443723085024,0.36902329196746736,0.4863269604174094
SATB2,21.056068817829434,12.0,4.272114980690118,5.214210456185218e-05,0.0007054123309223735
SAV1,9.116505546937232,12.0,1.0983067264084403,0.37596623461227846,0.4927967385494462
SAYSD1,9.28922214946676,12.0,0.8990801736025692,0.5522281407635095,0.648804262347441
SBDS,2.822508267692518,12.0,0.28964530967213936,0.9891719839305472,0.9919350895597165
SBF1,11.622399067624366,12.0,1.1287890111697811,0.35237810165847977,0.4721620430837139
SBF2,4.37207885552416,12.0,0.3775916248568362,0.9671943887470675,0.9755642383155875
SBK1,11.218460843491002,12.0,1.3948684311190707,0.19001582675115417,0.304819814063524
SBNO1,13.718960852828989,12.0,1.5823656065425507,0.11775456938893608,0.21707388887554022
SC5D,12.314886077712986,12.0,1.632506409376609,0.10314130401042569,0.19785940152666662
