,sum_sq,df,F,PR(>F),p_val_adj
MFSD6,10.183118959096834,12.0,1.670535003277462,0.09317864353226869,0.18384164337800088
NAB1,7.5916742665853825,12.0,1.5794565956860434,0.118657026754384,0.21807379480506817
GLS,12.734101583773116,12.0,2.386877285109767,0.01229822179822928,0.04209740755319524
STAT1,8.6279002026634,12.0,1.1430673011591699,0.3416801133589874,0.4616567107570882
MYO1B,9.939268533929626,12.0,1.970957735468143,0.04067799301055282,0.100365208907066
TMEFF2,9.640620958752198,12.0,2.8589657208101023,0.0030799880113468363,0.015077368212908915
SLC39A10,14.380705356256595,12.0,2.823623218263084,0.0034172066057305294,0.016337299286379395
HECW2,8.932916953867338,12.0,1.0894386713864075,0.38301746887020865,0.4992673914718122
PGAP1,17.673802555552648,12.0,1.9693438413718292,0.040863660175353006,0.10060764248520065
ANKRD44,23.62770157035357,12.0,3.51797816964627,0.00044838858290023186,0.003574685776056567
SF3B1,7.760412089187205,12.0,0.9959050287828259,0.4622682669023195,0.5702795018269772
COQ10B,20.62442255070237,12.0,3.072343970650581,0.0016457693865082183,0.009507054272878089
HSPD1,12.32491423330569,12.0,1.3114489076476674,0.23268171308582306,0.35212291508513516
HSPE1,20.264214769788826,12.0,2.6955363688275313,0.004979413310989226,0.021620375112291448
RFTN2,8.43120143531884,12.0,2.555494962741545,0.007511061838565702,0.029504690633392838
PLCL1,12.198099654986994,12.0,1.391051343601075,0.19181476198953706,0.3065839834055992
SATB2,21.056099514090526,12.0,4.272125013642406,5.2140638440128434e-05,0.0007054330278943988
TYW5,23.684857375053614,12.0,2.782836358026838,0.0038525241292715804,0.017853066020298295
MAIP1,11.22757635944226,12.0,1.2616872094603588,0.2616218065897016,0.38214048145272406
SPATS2L,9.834730910155965,12.0,3.589267585114001,0.0003647792173985224,0.003039716772674746
KCTD18,11.064124679546241,12.0,1.2006269258687683,0.30086270400803267,0.4225661651168342
BZW1,27.224858660012263,12.0,4.40597647726031,3.587798020872066e-05,0.0005302800028280896
CLK1,13.393278163440058,12.0,1.9071280514050055,0.0486710256587093,0.11450250492217559
PPIL3,14.176297936806726,12.0,1.4774548441337627,0.15446089238129457,0.26275187456991694
NIF3L1,9.193327094967795,12.0,0.8338224491884567,0.6157553695520012,0.7004169787319119
ORC2,10.490586562460742,12.0,1.1275885778632142,0.35328779876624955,0.4729680213782533
FAM126B,7.959082759150956,12.0,0.9366620657168423,0.5165324208587965,0.6182844787218041
NDUFB3,6.083000538963524,12.0,0.5935390259239273,0.8399941113107151,0.8791390971753881
CFLAR,15.557979438778258,12.0,1.812062517747943,0.06338759198584577,0.1382128692885787
TRAK2,19.96214585445221,12.0,2.690451470804702,0.005054364078604358,0.021860302694123496
STRADB,21.123667117486363,12.0,2.2836147447811856,0.01660577230555014,0.05287204404893004
TMEM237,17.305148464165693,12.0,1.9733747017525862,0.040401447046494524,0.09984340429525539
ALS2,16.45420098692065,12.0,2.4601598419882342,0.009929382828954966,0.03588374426026064
NOP58,15.264349473189688,12.0,1.7701218885205927,0.07113102901365385,0.15012021892223806
BMPR2,20.882527285887196,12.0,2.658769810676539,0.005547334011756982,0.023398924223663898
FAM117B,10.545595393385865,12.0,1.2317278108081304,0.2803555591230081,0.4021758084240589
ICA1L,15.136505815365709,12.0,1.711510369566344,0.08343711692817347,0.16956278364039315
WDR12,14.879566894574026,12.0,1.5117177196610883,0.14149499369487406,0.24736774291672686
CARF,9.70035478793012,12.0,1.063949044792046,0.40374785635366706,0.5177427976591849
NBEAL1,24.177090211715527,12.0,4.367822235568755,3.990144762409758e-05,0.000576785760946139
ABI2,15.427373504362734,12.0,4.191355551424189,6.541669014476244e-05,0.0008354464394632074
RAPH1,17.25519716367333,12.0,2.4228840568203927,0.011071836437046127,0.038986412968382685
NRP2,9.462881679112193,12.0,3.588654574614059,0.0003654262636898593,0.0030412448808842174
INO80D,10.910174855903927,12.0,1.1773796036403896,0.3169007209931711,0.4387343014441617
NDUFS1,8.08104725541364,12.0,0.9690879107406989,0.4864898154584345,0.5918000152444151
EEF1B2,4.93434922796164,12.0,0.7579841640184836,0.6902487332773803,0.7619962038146647
ZDBF2,19.600565224641134,12.0,2.4713586322817163,0.009609495427401565,0.03509520018853535
ADAM23,22.814015792326693,12.0,3.6569368612004953,0.00030003919916395865,0.002651402059406652
FASTKD2,12.302490845815116,12.0,1.2022522343647037,0.29976414319565214,0.42128025496727184
KLF7,17.74498405648439,12.0,2.490979625482641,0.009073417644102157,0.03373980259738299
CREB1,11.899454262614672,12.0,1.1519739257749262,0.33512151721102446,0.4565466682170607
METTL21A,15.034221325785989,12.0,1.8388314106804862,0.05886655020016608,0.1314044107256071
CCNYL1,11.310311853786342,12.0,1.101062504888543,0.3737922221281284,0.49120576300211305
PLEKHM3,20.321749124825388,12.0,2.243883924596879,0.018631164391294603,0.057187219526839625
CRYGD,11.916317006687079,12.0,1.6205384936405733,0.10647166064762442,0.20210891678125645
IDH1,40.12968831049749,12.0,7.621725815266363,1.0368239392310785e-08,9.842345188082237e-07
PIKFYVE,14.518274351856752,12.0,1.4321401768607938,0.17318739295306598,0.28509352248334285
MAP2,24.040816803582178,12.0,4.208199963330629,6.238934450574751e-05,0.0008068554553496111
UNC80,10.772165248777375,12.0,1.462796492160921,0.16031696968107528,0.27016406117772895
LANCL1,5.448830179256906,12.0,0.7248727928890834,0.722301691156457,0.7888917053442229
ERBB4,16.6783670500841,12.0,2.4977654764353248,0.008894991722179347,0.03324069958515724
SPAG16,15.00658701053048,12.0,2.0546947622786553,0.032080402788575824,0.08403879057673005
ATIC,6.444967304340757,12.0,0.5692922580899183,0.8591358547001654,0.8940916534899552
FN1,6.589837076964792,12.0,1.951466191561269,0.04297531807848902,0.10421825885349667
PECR,18.095814102956574,12.0,1.960518508421934,0.041893374979809224,0.10240355636158305
TMEM169,9.505296403795683,12.0,1.434420699877596,0.17220032991792592,0.28405959116522067
XRCC5,11.745329162382367,12.0,1.2819060078862472,0.2495386931510159,0.3697702424419946
MARCHF4,17.94360809629119,12.0,2.7090365633775484,0.004785754053676159,0.021014412649618536
SMARCAL1,20.014775663647445,12.0,2.3141345061544065,0.015197988715036451,0.049432384347600014
IGFBP2,20.3280774855954,12.0,4.201137976701024,6.36408003076547e-05,0.0008184420240682743
IGFBP5,11.441666071399068,12.0,3.2485817438486,0.0009823069495557147,0.006521328328413137
ARPC2,17.493699695421853,12.0,2.68386935000069,0.0051530556352625875,0.022137132780030946
AAMP,3.605605673847417,12.0,0.300585003314565,0.9872714165811157,0.990879731008441
PNKD,6.569628862565516,12.0,0.6260584109161494,0.8128200748208952,0.8573249998798171
TMBIM1,5.683294930255464,12.0,2.091061942624744,0.02891819647557727,0.07815637016352084
USP37,16.699289743898326,12.0,1.788681311779628,0.06760124450322269,0.14476099055480804
ZNF142,17.005649356673114,12.0,2.0335276243541904,0.03407186719772279,0.0880532565693605
BCS1L,6.508566791220385,12.0,0.5588026273981198,0.8670913433643294,0.899422900720823
RNF25,9.559075999870345,12.0,0.9136729778739975,0.5382688704002632,0.6372306195224509
STK36,6.861266678821538,12.0,0.5885462295550449,0.8440182900730177,0.8820474877984731
CDK5R2,12.125556061860067,12.0,1.7701782149308773,0.0711200607429386,0.15012021892223806
CNPPD1,23.387567084678412,12.0,2.768073576043628,0.004023394750690497,0.018405629111015214
RETREG2,9.283865049769911,12.0,1.478816412311262,0.15392649895325286,0.26213338308887596
