"","logFC.spline_1.human","logFC.spline_2.human","logFC.spline_3.human","logCPM","F","PValue"
"FOXRED1",0.0572823633485768,-0.389631825433435,-0.283662299646519,8.79951236317319,0.942991357326837,0.426679978452105
"FOXRED2",0.159546936410473,0.229430420438413,0.00622825569042674,8.8114739317518,0.268770754003255,0.847644859411964
"FPGS",-0.0474098419008996,0.537925609245088,-0.0574470608366436,8.78700892682785,1.10555553799593,0.356578320171418
"FRA10AC1",-0.204699489403592,-0.739210951325724,0.0315095229819112,8.91075250439965,1.34255100564357,0.266434521822795
"FRMD3",-0.0708776108701278,0.398433657092386,-0.227887873660415,8.78863508240408,0.0181072495396889,0.996630982382898
"FRMD4A",0.221192274204611,0.00380254258886304,-0.349824837829383,8.93040421063264,1.45203692005094,0.235301321070117
"FRMPD2",-0.151179349030919,-0.0723160251081429,-0.598732552608931,8.79526518526808,1.10079772819861,0.359899579127802
"FRMPD4",0.851750256453525,0.802167108227903,0.26868143129077,8.88551848325079,0.155674117312287,0.92560866511639
"FRRS1L",0.357734429815154,0.787244212322476,0.0207772876617209,9.34892276679658,0.114413275346854,0.951266072143264
"FRS2",-0.00916497228854098,-0.185711165828406,-0.115289552890425,8.82995359808639,0.132904585505427,0.940137859774312
"FRY",0.0577838400967671,0.514520692973982,0.138721476074412,9.31150118100627,0.995429442325616,0.398387303515613
"FRYL",-0.369622594398886,-0.204174345479868,-0.122217959093662,8.77923140421625,1.25440965064667,0.302267257178185
"FRZB",-0.158471987699428,0.214435991438149,-0.0248350568217093,9.12437370289912,0.796671197266101,0.499148894427582
"FSCN1",-0.0290703590171427,-0.0798514960271307,-0.357271301271595,9.5268796424633,6.09540011117101e-08,0.999999999978911
"FSD1",-0.191231817027149,-0.323197756551124,-0.185507279321734,9.03537270968819,1.46082542596455,0.229981040562163
"FSD1L",0.0754317230694288,0.249164466084214,-0.0426918986376997,8.88478314754926,1.2797027957568,0.289047673592078
"FSTL1",-0.028023756003734,0.505811421606581,0.164577856540666,8.79359006119464,0.158443193697824,0.923682727275529
"FSTL5",0.504553235265951,0.468793841161623,-0.151567308427396,9.10150353152598,0.140006254180934,0.935570109805341
"FTH1",-0.112623403042472,-0.155308763059151,0.294609495800362,12.1122476008961,1.64452489612991,0.189184730218286
"FTL",-0.404724162827681,-0.0553386619699244,-0.0714392013862166,11.2236270098649,2.30125011850088,0.0866931646590682
"FTO",0.0441753404794811,-0.228375936110807,-0.0621212570354472,8.90977950114323,0.709669979467078,0.549774962568301
"FTSJ1",0.0714600211501865,-0.012148972621651,0.00690267549773495,8.85207440826052,0.0955544627138826,0.962236269905284
"FTSJ3",0.0782797698524153,-0.50106781848117,-0.0595638665547799,8.78725693275425,0.613228806801423,0.609914633024555
"FUBP1",-0.168593740639955,-0.0886356221056053,-0.0562803524795888,9.09944569728785,0.602178375054093,0.61520245145149
"FUBP3",-0.0956064610954019,-0.635899669020361,0.0935695335184355,8.80362155216932,0.507542393563986,0.678928980520264
"FUCA1",0.154779813630569,-0.268117981259799,-0.107612449090766,8.79629831448079,0.400723432203946,0.753141535232609
"FUCA2",-0.0760504570183717,0.00300991106285547,0.211975768561199,8.76791312630395,0.55122651410974,0.650414246041967
"FUNDC1",-0.133587826156552,-0.502098423715131,-0.0392811585619739,8.82084438076968,0.649468170986916,0.586291275458224
"FUNDC2",-0.0673325171091867,0.117886453472938,-0.368050559057294,8.96736335181443,0.932027917473257,0.430398979583748
"FURIN",0.22044320306128,0.0735705497679002,0.0761950865242208,8.8741195873176,0.838985593047824,0.47664007989858
"FUT8",0.35265271985467,-0.0728050882363736,0.145047587787962,8.97938649169452,1.81844663296294,0.149167368044156
"FUT9",0.363865196052249,-0.0916322867008055,0.6093905178283,8.92726614639735,0.509962486866781,0.676750552785544
"FUZ",-0.126900593039686,0.262871286736505,0.0954333689667154,8.76155795089068,0.279103430387732,0.840103125392596
"FXR2",-0.0570106327673762,-0.335575957889094,0.0841588237997376,8.89634164278189,0.803587191524017,0.495302755606892
"FXYD1",-0.0719968136682599,0.0884122056051379,-0.130432596040122,8.99699067392025,0.0248363950307591,0.994642513863745
"FXYD5",0.116101217266135,0.0801917289953674,-0.0201309794608161,8.73034479124921,0.076748848031462,0.971891189824428
"FXYD6",0.115935484399049,-0.079366627815624,0.128267288267212,10.0411354184674,0.0353368463540647,0.990970832615877
"FYN",-0.00443926707056252,-0.571984126749663,-0.226485641799124,9.29716758657467,3.67421057432967,0.01468242856882
"FYTTD1",-0.0367979520719142,-0.370820794809131,-0.0951601012102288,8.9917429884172,0.648667946399091,0.585574425830443
"FZD3",-0.325978524021538,-0.467410905730043,0.242689274926143,9.08321156070505,1.7727644156686,0.158662418469212
"FZR1",-0.209807347143522,0.00286139086542489,-0.154716735771311,8.94775411973971,1.5230352434297,0.21356262183784
"G2E3",-0.0858920833730438,-0.122237214550146,0.0113009744868075,8.78741125303484,0.0519628024340049,0.984182600669369
"G3BP1",-0.119588659712377,-0.645228265408639,0.0450395841950119,8.78056754252957,0.218503324673523,0.883085644153507
"G3BP2",0.0421033889954755,0.0400973226371695,0.139059765275638,9.64387110098968,0.936582422530488,0.42666160163296
"G6PC3",0.0636200616719632,-0.328867824857502,-0.0814828823019367,8.81327323243913,0.446777999358239,0.720467863728976
"G6PD",-0.096728681279179,-0.0362970873543089,-0.101979214150821,8.78253917883748,0.247723633713981,0.862525725342075
