"","logFC.spline_1.macaque","logFC.spline_2.macaque","logFC.spline_3.macaque","logCPM","F","PValue"
"SLC20A2",0.0440515509457822,0.108523123528743,-0.5318055657864,9.138362762165,0.914546370009697,0.441676746203316
"SLC22A17",0.109491890905441,-0.142933471678644,-0.159536409699107,10.4016728173235,2.31740204710538,0.0841623825229485
"SLC22A23",-0.0689473344601727,-0.00393520472716623,0.204999450291719,9.15172615777502,0.161106646826528,0.921947409764026
"SLC23A2",0.243477779955403,-1.00358814560976,-0.367993619523271,9.44055970408366,6.64487216855966,0.00042327705379784
"SLC24A3",-0.0300465039557014,-0.102308429585457,-0.0211443076944429,9.03019971022967,0.323092858460555,0.808652085493733
"SLC25A1",-0.0175038466840419,0.514730612249727,0.640813121622301,9.21851190457225,4.52567501458369,0.00570484817957735
"SLC25A11",0.110737717565576,-0.0250193978202637,-0.404234117001707,9.46677704412514,8.59518499444741,4.27472895889629e-05
"SLC25A12",-0.0570904512274562,-0.347948266790269,-0.408718844867804,9.43638564696647,2.68619777761086,0.0510513677274793
"SLC25A14",-0.131736043804527,-0.234986265948279,-0.174482959733381,9.17571943148773,0.700685184909937,0.555143248395757
"SLC25A17",0.151575554520031,0.772209248353889,0.145514626492709,9.21274073123207,2.13411790203969,0.103288037495099
"SLC25A18",-0.37363872530847,-0.60264528011514,0.450014694030999,9.12560808343292,0.249588906100079,0.861159514633444
"SLC25A22",0.521976338707461,-0.0943847815394314,-0.848187634833434,9.55787213016189,21.1114968236742,2.15551056671884e-10
"SLC25A23",0.496469062665146,0.476896141673342,-0.0294901159484345,9.39360689490918,4.41273732554106,0.0060024683884948
"SLC25A25",0.333809719010747,-0.200337610432371,-0.353087235167716,9.13645729458554,1.13469963005583e-07,0.99999999994629
"SLC25A26",0.00108080825698729,-0.276145037573737,-0.367116019479931,9.13818905835131,1.23071335113393,0.308942091911211
"SLC25A27",0.035379192949826,0.0148141005882861,-0.182362697205371,9.26153814830038,0.237558568786321,0.869908735126122
"SLC25A28",-0.0963406685659169,0.36102385030734,-0.0492367582399776,9.16210169395694,0.832840547531615,0.481226977935272
"SLC25A29",-0.296326984975466,-0.901437284567203,-0.0348264871286563,9.18307634765595,5.46071745799705,0.0021054976504914
"SLC25A3",0.0303199644760689,-0.0986760184802877,-0.236836023187504,10.258137456098,4.02973449691365,0.0106332259700767
"SLC25A32",0.0958949372809088,-0.0356375701679016,0.0457116593371779,9.17999451950185,0.129875288424108,0.941997786541213
"SLC25A36",0.451466880595127,0.386180288985974,-0.197281735339195,9.32245762862322,7.13117822779087,0.000237373537605237
"SLC25A38",0.137197619438865,0.240626117720581,-0.0261908656863824,9.18057005978826,0.309123669822961,0.818701353635241
"SLC25A39",0.216797587030011,0.292394754618759,-0.106628248834013,9.22247647700123,1.73896175297333,0.165956815472468
"SLC25A4",-0.00767838107801851,-0.710975089219793,-0.296613171439292,10.019944897379,4.1216127985201,0.00920368401845918
"SLC25A42",0.0521079012167462,-0.0599750834337964,-0.255358459519917,9.10459083711257,0.429182510264319,0.733296714283353
"SLC25A43",0.121524122328962,-0.158648927444095,-0.144985722538324,9.49014134805644,0.254219493119759,0.85797169997245
"SLC25A44",-0.269054201421391,-0.293658458852099,-0.300849294528074,9.28746943602978,3.0501783295305,0.0331431466480342
"SLC25A46",-0.0157475311618749,0.595256818770491,0.406545877477869,9.28927970129048,2.80060381986543,0.0468156541082897
"SLC25A6",0.000708806971245193,0.035742705661935,-0.351515714588158,9.73872364855739,3.31080793706507,0.0289439873252381
"SLC26A11",0.121573390928574,0.19629223350721,0.0511692936697341,9.07475931861661,0.310231807108512,0.817766015522381
"SLC27A1",-0.209454755790406,0.0632868223932069,0.389758496603284,9.1252393911744,2.34960672827242,0.0851737869032841
"SLC27A3",0.187713004791508,-0.110109879172762,-0.0398040567720226,9.08778518639476,0.972838595860151,0.418779604125983
"SLC27A4",0.00993318200078558,-0.411131814612656,0.0755262167419921,9.21355708696738,1.59864352814216,0.196809875095482
"SLC27A5",-0.151933106939811,0.254328484949065,0.166345551105703,9.0473817381097,0.498675019571137,0.68853046405873
"SLC29A4",-0.485018578366878,-0.166643231162417,-0.816756489230577,9.14201313052207,0.0276727729792678,0.993696021721585
"SLC2A1",0.039889370104817,0.888260757406199,0.0578096277455199,9.34147081646035,1.28549730449646,0.284654793932012
"SLC2A13",0.00495926554039333,0.00326132617018286,-0.00341878844131908,9.03100588956843,0.0173640874954354,0.996711612332148
"SLC2A3",-0.00513056022763271,-0.404942048834597,-0.562395919131336,9.36406791269124,5.63088074747617,0.00139343270309016
"SLC2A4RG",-0.137375850075629,0.494793121290669,0.228529680362368,9.08430661993464,0.682923419826182,0.570149382591878
"SLC2A6",0.319091651118348,-0.26215232180154,-0.496515471238241,9.25662197941875,4.62755319274621,0.00501505038876767
"SLC2A8",0.307451900774812,-0.00817674180862361,0.0976868993459569,9.10976718711679,1.0464762585602,0.38298850483069
"SLC30A1",-0.352847792966561,0.0279400026741622,-0.13262779213544,9.11210990354875,1.46287601308931,0.239221017900701
"SLC30A10",0.0577629947365014,-0.0438575521377541,-0.172309441748251,9.03930102652435,0.0768089466244461,0.971496356154047
"SLC30A3",-0.632432928533445,-0.316777613952181,-0.457225287537506,9.57446752503844,2.17051492503871,0.0994100848497452
"SLC30A5",-0.0727732927407737,0.0499087064125783,-0.0139845256673875,9.17895779112311,0.0563215367910932,0.982272295608451
"SLC30A9",0.274106101413765,-0.168055915232763,-0.258578884439921,9.49431297742201,3.40418803877568,0.020840069186771
"SLC31A1",0.111675854472667,0.375629155223637,0.114759432941207,9.09469589453035,0.651076334503865,0.588076389658962
"SLC32A1",-0.233015194060041,-1.11874212789028,-1.00977085683643,9.26633801843272,7.80164815614919,0.000133571632936273
"SLC35A1",0.049264022661048,-0.159186116389304,0.163810923830833,9.16271939348718,0.787043374596337,0.505845564967788
"SLC35A2",0.1207065919653,0.309572297137021,0.0941395241435792,9.09616665866488,0.286362431447788,0.834917557525699
"SLC35A4",-0.0460857303253111,0.551376380912868,0.120679240927901,9.14645642039686,0.707914475660387,0.551505643556417
"SLC35A5",0.0352634527600913,0.108780634842883,-0.0368212282168793,9.1402897287011,0.711551755211732,0.549988271184952
"SLC35B1",0.155749131426106,0.258896770499122,-0.233370768727871,9.32399212331805,1.48769190894767,0.223615688389314
"SLC35B2",0.00675672163804414,0.392433076946238,0.340419571836695,9.16004943735035,1.04559129799533,0.379140750108893
"SLC35B3",0.151176207556163,0.157848602615766,-0.29326789550927,9.11569562163961,1.51713188214026,0.224410696794167
"SLC35B4",-0.0222920518834014,0.0224976653275968,0.0412951762381434,9.03594455005994,0.176261826512561,0.910592021651172
"SLC35C1",-0.0692403665397555,-0.220614522968152,-0.0876930999823583,9.1234001544076,0.257173850633731,0.855797061703386
"SLC35C2",-0.11705272055824,-0.260647264963716,-0.175075312549698,9.17896423132208,0.881065368862948,0.455872581587015
"SLC35E1",0.0570843561977985,0.190131187307701,-0.319710378105172,9.13730086936588,1.69967095325647,0.179012647363641
"SLC35E3",-0.0517983105153734,-0.164739628713365,0.327097556209624,9.11127786759658,3.19124163065528,0.0340515381619846
"SLC35E4",0.122059212300293,-0.509512882496363,-0.262435332709028,9.11946016314781,0.784165447373452,0.509452303206837
"SLC35F1",1.0213849835836,-0.286077377348957,0.61664144056872,9.11304383139412,0.315836546672472,0.813824769195449
"SLC35F2",0.48524247295354,-0.123058835116076,0.295452876270174,9.06269005548037,1.05692720427272,0.388421737840359
"SLC35F3",0.602891523335442,-0.198593139060066,-0.367892397021235,9.11252495529882,2.37080293461271,0.0851701657583723
"SLC35F5",-0.171092700240248,-0.45904890044324,-0.0647181400194046,9.05864762808152,0.12914440703151,0.941631047148084
"SLC35F6",-0.0441843701909652,0.454236269406626,0.140948494764786,9.12439529737546,0.433939186557222,0.729754445832261
"SLC35G2",-0.0328030018569787,0.00174021651520725,-0.123771559603243,9.0941185377162,0.430788067126845,0.73228024484918
"SLC36A1",0.559950718299187,0.695665836467751,-0.240674786506232,9.08217410522365,0.28670177941182,0.834605446348577
"SLC36A4",0.163215027545416,-0.0738234567376791,-0.144949246066368,9.12819403125671,0.825272014489367,0.486711084103958
"SLC37A1",0.145790483243265,-0.572869685269152,-0.200760327718079,9.1131329959218,2.54717160032488,0.0700554427924702
"SLC37A3",0.159740830482387,0.283834215287093,0.0137799423679818,9.18975459700592,0.460691425487009,0.710666644624652
