"","logFC.spline_1.macaque","logFC.spline_2.macaque","logFC.spline_3.macaque","logCPM","F","PValue"
"NDUFA5",0.0675419927983081,0.146744170245487,-0.176917198166647,9.50391424974643,2.90429872328897,0.0391448667672528
"NDUFA6",0.0801869749441125,0.321623974821675,-0.295191906399031,9.14577429767354,5.64928624326749,0.00125118600267806
"NDUFA8",0.16988198429823,0.374213083631956,-0.453845369499689,9.21413815331304,10.9614510110196,2.68796041450824e-06
"NDUFA9",0.180451178394076,-0.0524062758496631,-0.467767992801337,9.00136825003063,4.00777972059296,0.00969464864602728
"NDUFAB1",-0.108873183120476,0.198004439563881,-0.30655932529231,9.3324981781577,4.39849983345336,0.00601706323897603
"NDUFAF1",-0.0486109093389678,0.0264227434425691,-0.135456909313116,8.73213148823505,0.457843301352369,0.712664657576064
"NDUFAF3",0.130194777654252,0.0286801907442,-0.448761817879133,8.90342877546356,3.41540777857288,0.020160920739243
"NDUFAF4",0.114912594286702,0.2045842740654,-0.384772728780388,8.93171178625787,3.18236614897983,0.0273315840419891
"NDUFAF5",0.281251342437689,-0.133648643828436,-0.48702663751622,8.72327138043864,3.80143967141231,0.014533585668928
"NDUFAF6",0.0943426735564166,0.0699725233901485,-0.28593096345587,8.72685190733687,1.46695540208507,0.23224278859433
"NDUFAF8",0.207106814988955,0.282430523908372,-0.066956394002798,8.9387486578185,1.5556845733986,0.208327604132676
"NDUFB10",0.360707261265021,0.389843197037365,-0.303196899236497,9.39294683559344,11.9497067800631,1.04524151138707e-06
"NDUFB11",0.25505825240957,0.348472166372839,-0.319313881191377,9.54618535497278,7.05951605020588,0.000253558426647429
"NDUFB2",-0.124892070872982,0.0500062341811554,-0.583850316971471,9.92481863719998,11.0906580059156,4.46057825620973e-06
"NDUFB3",0.0873618134853255,-0.111020659348869,-0.203233792750606,8.92348052184704,1.92599384098892,0.133824600721664
"NDUFB4",0.226536195557169,0.931843048371888,-0.284137612566926,9.56007765707182,22.3511266312155,7.66061292019797e-11
"NDUFB5",0.43723961044838,0.120182930279361,-0.350949856424946,9.28006200237986,9.13955776338634,2.1255760409873e-05
"NDUFB7",0.156816212550752,0.586602306783337,-0.214420878897409,9.61579053772734,9.79011420774295,1.28420651273548e-05
"NDUFB8",-0.0974415866068541,0.145888047355583,-0.556338660307463,9.16784616435036,11.6212381434038,1.35717440588149e-06
"NDUFB9",-0.281947206465431,-0.235438985515721,-0.584077972001406,9.48689707923101,17.7282068627275,3.67740475353937e-09
"NDUFC2",0.0096808515969896,0.153325861895958,-0.198989569530919,9.74259202281645,3.26925498932899,0.0254581404976313
"NDUFS1",0.265934704222518,0.0077107702122027,-0.256973446459545,8.9191678490976,2.44238262973098,0.068611419231748
"NDUFS2",0.122346621758659,0.276900183829039,-0.0242381581470779,9.34888977771531,1.19422773670433,0.316149872298716
"NDUFS3",0.121964614685078,0.416670533610508,-0.368862722401525,9.20269496087113,5.24814641318523,0.00206554673496801
"NDUFS4",0.0658474434340328,0.769089973267201,-0.403859624859175,9.15604515639124,9.66586384837328,1.12388790493745e-05
"NDUFS6",0.0491011300511452,0.208596160486624,-0.446792908342938,9.35622756170079,7.94589588692981,8.74730005843765e-05
"NDUFS7",-0.137591550077823,0.359447031770262,-0.254472927039223,9.08488735840467,5.98563900561241,0.000827436657426508
"NDUFS8",0.0762922641272426,0.566955022024754,-0.459803577165935,9.20270233884212,14.7303593214957,4.73624986077277e-08
"NDUFV1",0.316799884463571,0.266392448808608,-0.252975216616286,9.29844876119678,8.68171717674992,3.57626381766633e-05
