,sum_sq,df,F,PR(>F),p_val_adj
VEGFB,0.1129421488736311,12.0,4.003248455075361,0.0001113430443668822,0.0005236193833147351
VEZF1,0.1175108275790901,12.0,3.439350826828519,0.0005633333451637885,0.0020924459226575893
VEZT,0.05982631358287764,12.0,1.3141541704383923,0.23118488976505078,0.31900951070831524
VGLL4,0.20790426962692315,12.0,6.114906843183518,3.8725651717424834e-07,3.793465968234552e-06
VHL,0.06702567565793334,12.0,2.5466088709686443,0.007709272645116019,0.01913395755154402
VILL,0.012586374507814038,12.0,1.399302199808331,0.18794411316810783,0.26985644691282346
VIM,0.7835911319259136,12.0,2.3328536796828514,0.014393199018169024,0.03265958022654026
VIP,0.17179119724042757,12.0,2.252913884825616,0.018150610510520665,0.03964203547933451
VIPAS39,0.05511799448226631,12.0,3.0139211525042744,0.001953560657074238,0.00611433940528198
VIRMA,0.02136518448261611,12.0,0.5241518025196904,0.8918555110492662,0.9205476455264705
VIT,0.5425990185044417,12.0,30.138059001365676,1.5032630750889203e-22,1.0647727996475982e-19
VLDLR,0.22940605500434508,12.0,4.82296046755755,1.1391360909862944e-05,7.314620031939887e-05
VMP1,0.05884011642997193,12.0,2.558832909900579,0.007437919885531104,0.018595809477591745
VOPP1,0.1343859698642087,12.0,4.247243592168063,5.590879403531773e-05,0.0002921726308043165
VPS11,0.030902553205305897,12.0,1.1633844465289875,0.32684851572616586,0.4194009382394837
VPS13A,0.02034484981056777,12.0,0.9361764742310387,0.5169880417055408,0.6037318818040102
VPS13B,0.014091062766303153,12.0,3.3291463026914996,0.0007764323884482301,0.002765721250611723
VPS13C,0.05471535312604699,12.0,2.5415845018292074,0.007823631757827732,0.01938122174497653
VPS13D,0.03949659001403349,12.0,2.2617637333973897,0.017691413979965414,0.03878631903036227
VPS16,0.03737010151330614,12.0,1.4794730031507601,0.15366937351053203,0.2293334831904342
